,cash,cash_weight
2010-08-17,2.8350655156827997e-12,2.709180070944717e-16
2010-08-18,2.8350655156827997e-12,2.709187547382399e-16
2010-08-19,2.8350655156827997e-12,2.707346874163606e-16
2010-08-20,2.8350655156827997e-12,2.708057782600145e-16
2010-08-23,2.9256597144922125e-12,2.7936324730850557e-16
2010-08-24,2.9256597144922125e-12,2.793105007096866e-16
2010-08-25,2.9256597144922125e-12,2.7941425795637355e-16
2010-08-26,2.9256597144922125e-12,2.7939937602158057e-16
2010-08-27,2.9256597144922125e-12,2.794415303830588e-16
2010-08-30,2.5557334026871104e-13,2.433787237010314e-17
2010-08-31,2.5557334026871104e-13,2.4346574055775957e-17
2010-09-01,5.080380560684716e-13,4.838598833582246e-17
2010-09-02,5.080380560684716e-13,4.835859756893712e-17
2010-09-03,5.080380560684716e-13,4.835681814826809e-17
2010-09-06,7.993605777301127e-13,7.602719168139514e-17
2010-09-07,7.993605777301127e-13,7.607039573803699e-17
2010-09-08,7.993605777301127e-13,7.606516393908357e-17
2010-09-09,7.993605777301127e-13,7.614818784478155e-17
2010-09-10,7.993605777301127e-13,7.620542425351034e-17
2010-09-13,-5.837552663479073e-13,-5.567069278469095e-17
2010-09-14,-5.837552663479073e-13,-5.567324923296408e-17
2010-09-15,-5.837552663479073e-13,-5.570254742053394e-17
2010-09-16,-5.837552663479073e-13,-5.575871824702443e-17
2010-09-17,-5.837552663479073e-13,-5.574805050643137e-17
2010-09-20,-6.563638521583925e-13,-6.267952521839849e-17
2010-09-21,-6.563638521583925e-13,-6.269690163269821e-17
2010-09-27,2.8821389719269064e-13,2.7507943436736838e-17
2010-09-28,2.8821389719269064e-13,2.7522729622406206e-17
2010-09-29,2.8821389719269064e-13,2.751162993503497e-17
2010-09-30,2.8821389719269064e-13,2.7482696542034705e-17
2010-10-08,3.5571545708990016e-12,3.384080146360323e-16
2010-10-11,1.6613377340490842e-12,1.5795178408977877e-16
2010-10-12,1.6613377340490842e-12,1.5792701039510148e-16
2010-10-13,1.6613377340490842e-12,1.5781730322222613e-16
2010-10-14,1.6613377340490842e-12,1.5771474405689018e-16
2010-10-15,1.6613377340490842e-12,1.5752219488108843e-16
2010-10-18,6.430411758628907e-13,6.09882377184144e-17
2010-10-19,6.430411758628907e-13,6.09422621835863e-17
2010-10-20,6.430411758628907e-13,6.138821443675326e-17
2010-10-21,6.430411758628907e-13,6.152241934515925e-17
2010-10-22,6.430411758628907e-13,6.153699214932595e-17
2010-10-25,1.5099033134902129e-12,1.4423617820075922e-16
2010-10-26,1.5099033134902129e-12,1.4449465152467213e-16
2010-10-27,1.5099033134902129e-12,1.44680184200602e-16
2010-10-28,1.5099033134902129e-12,1.4467929671419864e-16
2010-10-29,1.5099033134902129e-12,1.4468792422089986e-16
2010-11-01,2.2808421817899216e-12,2.1825355515103257e-16
2010-11-02,2.2808421817899216e-12,2.1856787590299849e-16
2010-11-03,2.2808421817899216e-12,2.1915632320672098e-16
2010-11-04,2.2808421817899216e-12,2.1929831101385953e-16
2010-11-05,2.2808421817899216e-12,2.1915318192263622e-16
2010-11-08,2.064126647383091e-12,1.9831491926518895e-16
2010-11-09,2.064126647383091e-12,1.9838474158392346e-16
2010-11-10,2.064126647383091e-12,1.9903841051084324e-16
2010-11-11,2.064126647383091e-12,1.9927091664874983e-16
2010-11-12,2.064126647383091e-12,2.0001614271129624e-16
2010-11-15,3.6770586575585185e-12,3.5653221550478e-16
2010-11-16,3.6770586575585185e-12,3.57166300439099e-16
2010-11-17,3.6770586575585185e-12,3.57349431381557e-16
2010-11-18,3.6770586575585185e-12,3.567945379317296e-16
2010-11-19,3.6770586575585185e-12,3.5704064390224114e-16
2010-11-22,2.7480240305521875e-12,2.6741413532649576e-16
2010-11-23,2.7480240305521875e-12,2.67915450981463e-16
2010-11-24,2.7480240305521875e-12,2.6794165996922936e-16
2010-11-25,2.7480240305521875e-12,2.6801203627135606e-16
2010-11-26,2.7480240305521875e-12,2.684323069285601e-16
2010-11-29,-4.840572387365683e-13,-4.726788870779758e-17
2010-11-30,-4.840572387365683e-13,-4.7290261199687724e-17
2010-12-01,1.2576606422953773e-12,1.2263345768433902e-16
2010-12-02,1.2576606422953773e-12,1.225121422047305e-16
2010-12-03,1.2576606422953773e-12,1.2250391255863564e-16
2010-12-06,2.361222328772783e-12,2.296256370553138e-16
2010-12-07,2.361222328772783e-12,2.2927185298406895e-16
2010-12-08,2.361222328772783e-12,2.2953856360485915e-16
2010-12-09,2.361222328772783e-12,2.297943544963547e-16
2010-12-10,2.361222328772783e-12,2.295797024308469e-16
2010-12-13,1.7189860646027455e-12,1.6678196971512797e-16
2010-12-14,1.7189860646027455e-12,1.6675294131703204e-16
2010-12-15,1.7189860646027455e-12,1.6672963541896298e-16
2010-12-16,1.7189860646027455e-12,1.6673219637305493e-16
2010-12-17,1.7189860646027455e-12,1.6671685000658578e-16
2010-12-20,1.397104654188297e-12,1.3546723072584383e-16
2010-12-21,1.397104654188297e-12,1.3530241721025335e-16
2010-12-22,1.397104654188297e-12,1.3536187317885963e-16
2010-12-23,1.397104654188297e-12,1.3544130945051691e-16
2010-12-24,1.397104654188297e-12,1.35477468651174e-16
2010-12-27,2.6849633627534786e-12,2.611812617609872e-16
2010-12-28,2.6849633627534786e-12,2.614574224224417e-16
2010-12-29,2.6849633627534786e-12,2.6123272551055e-16
2010-12-30,2.6849633627534786e-12,2.6105202654738267e-16
2010-12-31,2.6849633627534786e-12,2.6061605819410294e-16
