date,NAV,NAV_ACC,NAV_ADJ,OPEN,HIGH,LOW,CLOSE,PCT_CHG
2015-02-09,1.898,2.414,2.795776776,,,,,
2015-02-10,1.938,2.454,2.854697256,,,,,
2015-02-11,1.962,2.478,2.890049544,,,,,
2015-02-12,1.969,2.485,2.900360628,,,,,
2015-02-13,1.889,2.505,2.931397425,,,,,
2015-02-16,1.926,2.542,2.98881495,,,,,
2015-02-17,1.939,2.555,3.008988675,,,,,
2015-02-25,1.928,2.544,2.9919186,,,,,
2015-02-26,1.948,2.564,3.0229551,,,,,
2015-02-27,1.956,2.572,3.0353697,,,,,
2015-03-02,1.975,2.591,3.0648543750000004,,,,,
2015-03-03,1.942,2.558,3.01364415,,,,,
2015-03-04,1.975,2.591,3.0648543750000004,,,,,
2015-03-05,1.967,2.583,3.0524397750000003,,,,,
2015-03-06,1.945,2.561,3.018299625,,,,,
2015-03-09,1.982,2.598,3.07571715,,,,,
2015-03-10,2.009,2.625,3.117616425,,,,,
2015-03-11,1.999,2.615,3.102098175,,,,,
2015-03-12,2.024,2.64,3.1408938,,,,,
2015-03-13,2.05,2.666,3.18124125,,,,,
2015-03-16,2.122,2.738,3.29297265,,,,,
2015-03-17,2.142,2.758,3.32400915,,,,,
2015-03-18,2.175,2.791,3.375219375,,,,,
2015-03-19,2.168,2.784,3.3643566000000003,,,,,
2015-03-20,2.205,2.821,3.421774125,,,,,
2015-03-23,2.269,2.885,3.521090925,,,,,
2015-03-24,2.28,2.896,3.538161,,,,,
2015-03-25,2.288,2.904,3.5505756,,,,,
2015-03-26,2.261,2.877,3.508676325,,,,,
2015-03-27,2.273,2.889,3.527298225,,,,,
2015-03-30,2.283,2.899,3.542816475,,,,,
2015-03-31,2.303,2.919,3.573852975,,,,,
2015-04-01,2.361,2.977,3.663858825,,,,,
2015-04-02,2.393,3.009,3.713517225,,,,,
2015-04-03,2.421,3.037,3.756968325,,,,,
2015-04-07,2.475,3.091,3.840766875,,,,,
2015-04-08,2.46,3.076,3.8174895,,,,,
2015-04-09,2.451,3.067,3.803523075,,,,,
2015-04-10,2.52,3.136,3.910599,,,,,
2015-04-13,2.56,3.176,3.972672,,,,,
2015-04-14,2.543,3.159,3.946290975,,,,,
2015-04-15,2.471,3.087,3.834559575,,,,,
2015-04-16,2.515,3.131,3.902839875,,,,,
2015-04-17,2.503,3.119,3.884217975,,,,,
2015-04-20,2.409,3.025,3.738346425,,,,,
2015-04-21,2.489,3.105,3.862492425,,,,,
2015-04-22,2.548,3.164,3.9540501,,,,,
2015-04-23,2.556,3.172,3.9664647,,,,,
2015-04-24,2.526,3.142,3.91990995,,,,,
2015-04-27,2.559,3.175,3.971120175,,,,,
2015-04-28,2.512,3.128,3.8981844,,,,,
2015-04-29,2.57,3.186,3.98819025,,,,,
2015-04-30,2.583,3.199,4.008363975,,,,,
2015-05-04,2.583,3.199,4.008363975,,,,,
2015-05-05,2.494,3.11,3.87025155,,,,,
2015-05-06,2.515,3.131,3.902839875,,,,,
2015-05-07,2.495,3.111,3.871803375,,,,,
2015-05-08,2.597,3.213,4.030089525,,,,,
2015-05-11,2.707,3.323,4.200790275,,,,,
2015-05-12,2.761,3.377,4.284588825,,,,,
2015-05-13,2.753,3.369,4.2721742250000005,,,,,
2015-05-14,2.704,3.32,4.1961348,,,,,
2015-05-15,2.694,3.31,4.18061655,,,,,
2015-05-18,2.746,3.362,4.26131145,,,,,
2015-05-19,2.813,3.429,4.365283725,,,,,
2015-05-20,2.861,3.477,4.439771325000001,,,,,
2015-05-21,2.961,3.577,4.594953825,,,,,
2015-05-22,3.017,3.633,4.681856025,,,,,
2015-05-25,3.069,3.685,4.762550925,,,,,
2015-05-26,3.148,3.764,4.8851451,,,,,
2015-05-27,3.176,3.792,4.9285962,,,,,
2015-05-28,3.017,3.633,4.681856025,,,,,
2015-05-29,3.089,3.705,4.793587425,,,,,
2015-06-01,3.22,3.836,4.9968765,,,,,
2015-06-02,3.278,3.894,5.08688235,,,,,
2015-06-03,3.297,3.913,5.116367025000001,,,,,
2015-06-04,3.3,3.916,5.1210225,,,,,
2015-06-05,3.297,3.913,5.116367025000001,,,,,
2015-06-08,3.297,3.913,5.116367025000001,,,,,
2015-06-09,3.255,3.871,5.051190375,,,,,
2015-06-10,3.282,3.898,5.0930896500000005,,,,,
2015-06-11,3.334,3.95,5.173784550000001,,,,,
2015-06-12,3.378,3.994,5.24206485,,,,,
2015-06-15,3.292,3.908,5.1086079,,,,,
2015-06-16,3.194,3.81,4.95652905,,,,,
2015-06-17,3.248,3.864,5.0403276,,,,,
2015-06-18,3.155,3.771,4.896007875,,,,,
2015-06-19,3.01,3.626,4.67099325,,,,,
2015-06-23,3.06,3.676,4.7485845,,,,,
2015-06-24,3.099,3.715,4.8091056750000005,,,,,
2015-06-25,3.0,3.616,4.655475,,,,,
2015-06-26,2.806,3.422,4.35442095,,,,,
2015-06-29,2.696,3.312,4.183720200000001,,,,,
2015-06-30,2.819,3.435,4.374594675,,,,,
2015-07-01,2.705,3.321,4.197686625,,,,,
2015-07-02,2.595,3.211,4.026985875,,,,,
2015-07-03,2.474,3.09,3.83921505,,,,,
2015-07-06,2.468,3.084,3.8299041,,,,,
2015-07-07,2.376,2.992,3.6871362,,,,,
2015-07-08,2.199,2.815,3.412463175,,,,,
2015-07-09,2.331,2.947,3.617304075,,,,,
2015-07-10,2.474,3.09,3.83921505,,,,,
2015-07-13,2.605,3.221,4.042504125,,,,,
2015-07-14,2.651,3.267,4.113888074999999,,,,,
2015-07-15,2.545,3.161,3.949394625,,,,,
2015-07-16,2.586,3.202,4.01301945,,,,,
2015-07-17,2.724,3.34,4.2271713,,,,,
2015-07-20,2.757,3.373,4.278381525,,,,,
2015-07-21,2.781,3.397,4.315625325,,,,,
2015-07-22,2.811,3.427,4.362180075,,,,,
2015-07-23,2.883,3.499,4.473911475,,,,,
2015-07-24,2.818,3.434,4.37304285,,,,,
2015-07-27,2.608,3.224,4.0471596000000005,,,,,
2015-07-28,2.548,3.164,3.9540501,,,,,
2015-07-29,2.652,3.268,4.1154399,,,,,
2015-07-30,2.582,3.198,4.00681215,,,,,
2015-07-31,2.561,3.177,3.974223825,,,,,
2015-08-03,2.507,3.123,3.890425275,,,,,
2015-08-04,2.619,3.235,4.064229675,,,,,
2015-08-05,2.594,3.21,4.025434049999999,,,,,
2015-08-06,2.591,3.207,4.0207785750000005,,,,,
2015-08-07,2.669,3.285,4.141820925,,,,,
2015-08-10,2.788,3.404,4.3264881,,,,,
2015-08-11,2.776,3.392,4.307866199999999,,,,,
2015-08-12,2.727,3.343,4.231826775,,,,,
2015-08-13,2.775,3.391,4.306314375,,,,,
2015-08-14,2.782,3.398,4.31717715,,,,,
2015-08-17,2.812,3.428,4.363731899999999,,,,,
2015-08-18,2.639,3.255,4.095266175,,,,,
2015-08-19,2.689,3.305,4.172857425,,,,,
2015-08-20,2.616,3.232,4.0595742,,,,,
2015-08-21,2.497,3.113,3.874907025,,,,,
2015-08-24,2.305,2.921,3.576956625,,,,,
2015-08-25,2.133,2.749,3.310042725,,,,,
2015-08-26,2.104,2.72,3.2650398000000003,,,,,
2015-08-27,2.212,2.828,3.4326369000000003,,,,,
2015-08-28,2.317,2.933,3.595578525,,,,,
2015-08-31,2.276,2.892,3.5319537,,,,,
2015-09-01,2.192,2.808,3.4016004000000004,,,,,
2015-09-02,2.162,2.778,3.35504565,,,,,
2015-09-07,2.153,2.769,3.341079225,,,,,
2015-09-08,2.239,2.855,3.474536175,,,,,
2015-09-09,2.3,2.916,3.5691975,,,,,
2015-09-10,2.276,2.892,3.5319537,,,,,
2015-09-11,2.287,2.903,3.549023775,,,,,
2015-09-14,2.185,2.801,3.3907376250000003,,,,,
2015-09-15,2.105,2.721,3.266591625,,,,,
2015-09-16,2.219,2.835,3.443499675,,,,,
2015-09-17,2.19,2.806,3.39849675,,,,,
2015-09-18,2.215,2.831,3.437292375,,,,,
2015-09-21,2.273,2.889,3.527298225,,,,,
2015-09-22,2.28,2.896,3.538161,,,,,
2015-09-23,2.259,2.875,3.505572675,,,,,
2015-09-24,2.277,2.893,3.5335055250000003,,,,,
2015-09-25,2.244,2.86,3.4822953000000005,,,,,
2015-09-28,2.276,2.892,3.5319537,,,,,
2015-09-29,2.247,2.863,3.486950775,,,,,
2015-09-30,2.263,2.879,3.511779975,,,,,
2015-10-08,2.336,2.952,3.6250632,,,,,
2015-10-09,2.373,2.989,3.682480725000001,,,,,
2015-10-12,2.452,3.068,3.8050749,,,,,
2015-10-13,2.459,3.075,3.815937675,,,,,
2015-10-14,2.433,3.049,3.775590225,,,,,
2015-10-15,2.487,3.103,3.859388775,,,,,
2015-10-16,2.51,3.126,3.89508075,,,,,
2015-10-19,2.509,3.125,3.893528925,,,,,
2015-10-20,2.539,3.155,3.940083675,,,,,
2015-10-21,2.457,3.073,3.812834025,,,,,
2015-10-22,2.505,3.121,3.887321625,,,,,
2015-10-23,2.553,3.169,3.961809225,,,,,
2015-10-26,2.559,3.175,3.971120175,,,,,
2015-10-27,2.566,3.182,3.98198295,,,,,
2015-10-28,2.538,3.154,3.93853185,,,,,
2015-10-29,2.55,3.166,3.95715375,,,,,
2015-10-30,2.57,3.186,3.98819025,,,,,
2015-11-02,2.555,3.171,3.964912875,,,,,
2015-11-03,2.553,3.169,3.961809225,,,,,
2015-11-04,2.64,3.256,4.096818,,,,,
2015-11-05,2.654,3.27,4.11854355,,,,,
2015-11-06,2.705,3.321,4.197686625,,,,,
2015-11-09,2.732,3.348,4.239585900000001,,,,,
2015-11-10,2.727,3.343,4.231826775,,,,,
2015-11-11,2.74,3.356,4.2520005,,,,,
2015-11-12,2.738,3.354,4.24889685,,,,,
2015-11-13,2.707,3.323,4.200790275,,,,,
2015-11-16,2.744,3.36,4.2582078,,,,,
2015-11-17,2.729,3.345,4.234930425,,,,,
2015-11-18,2.701,3.317,4.191479325,,,,,
2015-11-19,2.75,3.366,4.26751875,,,,,
2015-11-20,2.767,3.383,4.293899775,,,,,
2015-11-23,2.752,3.368,4.2706224,,,,,
2015-11-24,2.758,3.374,4.27993335,,,,,
2015-11-25,2.797,3.413,4.340454525,,,,,
2015-11-26,2.798,3.414,4.34200635,,,,,
2015-11-27,2.677,3.293,4.154235525,,,,,
2015-11-30,2.692,3.308,4.1775129,,,,,
2015-12-01,2.694,3.31,4.18061655,,,,,
2015-12-02,2.712,3.328,4.2085494,,,,,
2015-12-03,2.754,3.37,4.27372605,,,,,
2015-12-04,2.722,3.338,4.22406765,,,,,
2015-12-07,2.741,3.357,4.253552325,,,,,
2015-12-08,2.709,3.325,4.203893925,,,,,
2015-12-09,2.703,3.319,4.194582974999999,,,,,
2015-12-10,2.702,3.318,4.19303115,,,,,
2015-12-11,2.678,3.294,4.15578735,,,,,
2015-12-14,2.729,3.345,4.234930425,,,,,
